solver,benchType,nodes,dims,file,buildTime,queryTime,wrapSize
my_kd_proto,craft_var_dim,100000,7,0.in,0.216137,53.2263,1
my_kd_proto,craft_var_dim,100000,7,1.in,0.210895,52.9885,1
my_kd_proto,craft_var_dim,100000,7,2.in,0.217997,53.0644,1
my_kd_proto,craft_var_dim,100000,7,3.in,0.211512,52.5925,1
my_kd_proto,craft_var_dim,100000,7,4.in,0.216029,52.7257,1
my_kd_proto,craft_var_dim,100000,7,5.in,0.223565,52.7038,1
my_kd_proto,craft_var_dim,100000,7,6.in,0.215324,53.2948,1
my_kd_proto,craft_var_dim,100000,7,7.in,0.222735,56.3651,1
my_kd_proto,craft_var_dim,100000,7,8.in,0.22552,53.226,1
my_kd_proto,craft_var_dim,100000,7,9.in,0.213276,52.7403,1
my_kd_proto,craft_var_dim,100000,9,0.in,0.27168,266.365,1
my_kd_proto,craft_var_dim,100000,9,1.in,0.257601,267.201,1
my_kd_proto,craft_var_dim,100000,9,2.in,0.255935,266.393,1
my_kd_proto,craft_var_dim,100000,9,3.in,0.263665,266.82,1
my_kd_proto,craft_var_dim,100000,9,4.in,0.266487,265.993,1
my_kd_proto,craft_var_dim,100000,9,5.in,0.258748,266.355,1
my_kd_proto,craft_var_dim,100000,9,6.in,0.267557,267.389,1
my_kd_proto,craft_var_dim,100000,9,7.in,0.269682,270.23,1
my_kd_proto,craft_var_dim,100000,9,8.in,0.25689,270.999,1
my_kd_proto,craft_var_dim,100000,9,9.in,0.269746,262.889,1
my_kd_proto,craft_var_dim,100000,10,0.in,0.288445,417.103,1
my_kd_proto,craft_var_dim,100000,10,1.in,0.290413,419.521,1
my_kd_proto,craft_var_dim,100000,10,2.in,0.282557,412.839,1
my_kd_proto,craft_var_dim,100000,10,3.in,0.279345,421.033,1
my_kd_proto,craft_var_dim,100000,10,4.in,0.286475,419.436,1
my_kd_proto,craft_var_dim,100000,10,5.in,0.288962,422.463,1
my_kd_proto,craft_var_dim,100000,10,6.in,0.28361,413.008,1
my_kd_proto,craft_var_dim,100000,10,7.in,0.28144,423.694,1
my_kd_proto,craft_var_dim,100000,10,8.in,0.281495,413.888,1
my_kd_proto,craft_var_dim,100000,10,9.in,0.282196,422.994,1
my_kd_proto,craft_var_dim,100000,12,0.in,0.393462,773.627,1
my_kd_proto,craft_var_dim,100000,12,1.in,0.408423,1018,1
my_kd_proto,craft_var_dim,100000,12,2.in,0.398955,749.072,1
my_kd_proto,craft_var_dim,100000,12,3.in,0.406018,1015.03,1
my_kd_proto,craft_var_dim,100000,12,4.in,0.406199,1030.61,1
my_kd_proto,craft_var_dim,100000,12,5.in,0.398055,936.903,1
my_kd_proto,craft_var_dim,100000,12,6.in,0.370023,760.964,1
my_kd_proto,craft_var_dim,100000,12,7.in,0.375489,757.512,1
my_kd_proto,craft_var_dim,100000,12,8.in,0.380023,759.435,1
my_kd_proto,craft_var_dim,100000,12,9.in,0.379092,757.771,1
my_kd_proto,craft_var_dim,100000,15,0.in,0.444117,929.788,1
my_kd_proto,craft_var_dim,100000,15,1.in,0.437303,926.965,1
my_kd_proto,craft_var_dim,100000,15,2.in,0.448755,927.564,1
my_kd_proto,craft_var_dim,100000,15,3.in,0.435099,926.857,1
my_kd_proto,craft_var_dim,100000,15,4.in,0.434832,932.54,1
my_kd_proto,craft_var_dim,100000,15,5.in,0.439036,921.047,1
my_kd_proto,craft_var_dim,100000,15,6.in,0.454107,1039.97,1
my_kd_proto,craft_var_node,10000,5,0.in,0.02776,0.912539,1
my_kd_proto,craft_var_node,10000,5,1.in,0.028389,0.910553,1
my_kd_proto,craft_var_node,10000,5,2.in,0.02788,0.924554,1
my_kd_proto,craft_var_node,10000,5,3.in,0.027499,0.921278,1
my_kd_proto,craft_var_node,10000,5,4.in,0.026987,0.921507,1
my_kd_proto,craft_var_node,10000,5,5.in,0.019097,0.914629,1
my_kd_proto,craft_var_node,10000,5,6.in,0.028975,0.906336,1
my_kd_proto,craft_var_node,10000,5,7.in,0.027541,0.92007,1
my_kd_proto,craft_var_node,10000,5,8.in,0.019153,0.906522,1
my_kd_proto,craft_var_node,10000,5,9.in,0.027745,0.91782,1
my_kd_proto,craft_var_node,50000,5,0.in,0.107621,7.58245,1
my_kd_proto,craft_var_node,50000,5,1.in,0.116015,7.67568,1
my_kd_proto,craft_var_node,50000,5,2.in,0.113965,7.47866,1
my_kd_proto,craft_var_node,50000,5,3.in,0.105222,7.59761,1
my_kd_proto,craft_var_node,50000,5,4.in,0.116734,7.79575,1
my_kd_proto,craft_var_node,50000,5,5.in,0.117839,7.7646,1
my_kd_proto,craft_var_node,50000,5,6.in,0.117074,7.19811,1
my_kd_proto,craft_var_node,50000,5,7.in,0.114869,7.64398,1
my_kd_proto,craft_var_node,50000,5,8.in,0.113545,7.35667,1
my_kd_proto,craft_var_node,50000,5,9.in,0.116467,6.8775,1
my_kd_proto,craft_var_node,100000,5,0.in,0.239902,21.9583,1
my_kd_proto,craft_var_node,100000,5,1.in,0.236389,17.7195,1
my_kd_proto,craft_var_node,100000,5,2.in,0.234972,21.4537,1
my_kd_proto,craft_var_node,100000,5,3.in,0.236785,21.907,1
my_kd_proto,craft_var_node,100000,5,4.in,0.233079,21.5282,1
my_kd_proto,craft_var_node,100000,5,5.in,0.227736,21.4836,1
my_kd_proto,craft_var_node,100000,5,6.in,0.227514,21.6772,1
my_kd_proto,craft_var_node,100000,5,7.in,0.236966,18.0467,1
my_kd_proto,craft_var_node,100000,5,8.in,0.238743,21.2152,1
my_kd_proto,craft_var_node,100000,5,9.in,0.23974,21.8422,1
my_kd_proto,craft_var_node,500000,5,0.in,1.33222,171.357,1
my_kd_proto,craft_var_node,500000,5,1.in,1.32863,205.378,1
my_kd_proto,craft_var_node,500000,5,2.in,1.27224,173.741,1
my_kd_proto,craft_var_node,500000,5,3.in,1.25416,172.792,1
my_kd_proto,craft_var_node,500000,5,4.in,1.25215,173.432,1
my_kd_proto,craft_var_node,500000,5,5.in,1.23773,173.684,1
